fid,objectid,cod_rip,cod_reg,cod_prov,pro_com,pro_com_t
533,27486,4,18,78,78156,"078156"
534,18750,2,5,28,28016,"028016"
535,21021,4,16,71,71046,"071046"
536,17199,1,1,1,1272,"001272"
537,25862,1,3,16,16023,"016023"
538,14708,1,3,15,15139,"015139"
539,20233,2,5,27,27033,"027033"
540,25866,3,9,46,46021,"046021"
541,27618,3,11,44,44065,"044065"
542,24225,2,6,93,93001,"093001"
543,26443,1,3,16,16204,"016204"
544,20322,1,3,18,18123,"018123"
545,24177,1,1,2,2150,"002150"
546,17076,2,5,26,26086,"026086"
547,22716,3,12,59,59013,"059013"
548,21148,5,19,84,84030,"084030"
549,20509,2,5,25,25073,"025073"
550,23588,2,5,29,29009,"029009"
551,30859,1,3,15,15202,"015202"
552,27057,2,8,35,35033,"035033"
553,21104,3,9,49,49012,"049012"
554,20919,3,12,58,58091,"058091"
555,26268,2,8,37,37009,"037009"
556,15758,1,7,10,10025,"010025"
557,25071,5,19,85,85004,"085004"
558,17568,4,13,69,69015,"069015"
559,16780,2,5,26,26036,"026036"
560,31303,1,3,17,17165,"017165"
561,22171,4,15,63,63049,"063049"
562,24236,1,3,98,98031,"098031"
563,19852,2,6,93,93034,"093034"
564,17343,2,5,23,23057,"023057"
565,26175,2,6,30,30035,"030035"
566,22950,4,17,76,76043,"076043"
567,19034,4,18,101,101013,"101013"
568,16866,1,3,15,15146,"015146"
569,19564,2,8,37,37006,"037006"
570,26612,4,15,63,63049,"063049"
571,27000,4,13,69,69022,"069022"
572,21043,3,12,60,60025,"060025"
573,22420,1,3,13,13004,"013004"
574,27046,4,17,76,76029,"076029"
575,16877,3,10,54,54003,"054003"
576,21212,1,3,16,16066,"016066"
577,14572,1,3,18,18099,"018099"
578,21886,5,19,81,81014,"081014"
579,21992,4,15,61,61029,"061029"
580,20010,1,3,15,15146,"015146"
581,16806,2,5,28,28058,"028058"
582,25221,1,7,11,11015,"011015"
583,18156,2,5,23,23090,"023090"
584,20945,1,1,96,96031,"096031"
585,24432,4,15,64,64006,"064006"
586,21079,2,8,37,37054,"037054"
587,17870,5,20,90,90003,"090003"
588,25121,3,9,51,51008,"051008"
589,27542,2,8,35,35033,"035033"
590,26340,2,5,27,27019,"027019"
591,21243,3,9,46,46003,"046003"
592,18038,3,11,44,44032,"044032"
593,17526,4,16,72,72036,"072036"
594,19430,2,5,26,26019,"026019"
595,22636,1,7,11,11015,"011015"
596,26027,2,6,93,93025,"093025"
597,20077,1,3,17,17078,"017078"
598,21953,1,3,15,15146,"015146"
599,19601,2,8,33,33032,"033032"
600,25202,4,16,73,73015,"073015"
601,24181,1,1,1,1272,"001272"
602,24511,2,5,29,29049,"029049"
603,26324,1,1,1,1248,"001248"
604,25046,2,8,37,37039,"037039"
605,23415,3,9,53,53011,"053011"
606,26044,3,9,49,49012,"049012"
607,23013,1,2,7,7039,"007039"
608,17742,1,3,16,16010,"016010"
609,25843,2,5,29,29040,"029040"
610,26041,2,8,36,36015,"036015"
611,25630,2,5,27,27043,"027043"
612,22778,3,9,49,49009,"049009"
613,17668,4,16,75,75035,"075035"
614,22439,5,19,82,82017,"082017"
615,18558,1,3,18,18015,"018015"
616,25659,3,11,44,44023,"044023"
617,16423,3,12,57,57010,"057010"
618,22042,4,15,63,63049,"063049"
619,24011,4,13,67,67040,"067040"
620,31108,2,8,36,36023,"036023"
621,24626,2,4,22,22205,"022205"
622,26511,4,15,63,63049,"063049"
623,31630,1,3,16,16152,"016152"
624,30833,3,12,58,58091,"058091"
625,22442,5,19,82,82017,"082017"
626,25988,2,5,27,27042,"027042"
627,16208,2,5,29,29001,"029001"
628,23743,4,15,63,63049,"063049"
629,23350,4,15,63,63049,"063049"
630,16204,2,8,39,39012,"039012"
631,25449,1,3,15,15247,"015247"
632,22747,3,11,41,41010,"041010"
633,27703,1,3,97,97004,"097004"
634,23677,2,8,37,37057,"037057"
635,22478,4,18,102,102044,"102044"
636,18636,4,18,78,78029,"078029"
637,23910,5,19,84,84034,"084034"
638,26581,4,15,63,63049,"063049"
639,19930,2,5,28,28088,"028088"
640,22643,1,3,17,17080,"017080"
641,25831,2,8,33,33032,"033032"
642,22576,4,15,63,63049,"063049"
643,18552,3,11,41,41034,"041034"
644,25150,1,1,6,6124,"006124"
645,22990,1,2,7,7039,"007039"
646,19069,3,12,60,60064,"060064"
647,26032,1,3,19,19047,"019047"
648,18935,4,15,63,63049,"063049"
649,27323,2,8,37,37009,"037009"
650,31781,3,12,58,58105,"058105"
651,25741,2,5,28,28060,"028060"
652,17293,2,8,39,39014,"039014"
653,15528,1,1,4,4215,"004215"
654,16557,1,2,7,7043,"007043"
655,17506,1,3,15,15032,"015032"
656,26398,3,11,41,41018,"041018"
657,17968,1,3,15,15179,"015179"
658,19577,4,13,66,66025,"066025"
659,24521,2,8,37,37039,"037039"
660,21256,2,5,26,26086,"026086"
661,16575,2,6,93,93051,"093051"
662,22907,1,2,7,7039,"007039"
663,27944,1,7,10,10025,"010025"
664,19143,3,12,60,60087,"060087"
665,20274,5,19,82,82070,"082070"
666,24821,4,15,63,63049,"063049"
667,24538,2,5,26,26012,"026012"
668,23060,1,1,6,6003,"006003"
669,26069,1,3,17,17029,"017029"
670,17831,3,12,58,58091,"058091"
671,19674,1,1,1,1272,"001272"
672,14426,1,3,15,15139,"015139"
673,20094,4,13,68,68024,"068024"
674,30962,3,12,58,58091,"058091"
675,31167,3,9,51,51033,"051033"
676,16516,1,7,9,9052,"009052"
677,20992,4,15,64,64044,"064044"
678,23947,2,5,29,29039,"029039"
679,26445,4,15,63,63049,"063049"
680,18580,1,1,4,4194,"004194"
681,16701,2,5,28,28003,"028003"
682,16089,2,8,99,99014,"099014"
683,16220,2,8,37,37003,"037003"
684,25336,2,5,23,23080,"023080"
685,22388,1,3,15,15170,"015170"
686,21060,2,5,26,26025,"026025"
687,21844,1,3,12,12127,"012127"
688,21976,5,19,88,88009,"088009"
689,31435,2,6,30,30054,"030054"
690,20351,1,3,18,18102,"018102"
691,17310,1,1,3,3058,"003058"
692,25112,2,8,33,33006,"033006"
693,30796,2,8,37,37060,"037060"
694,17117,2,8,34,34027,"034027"
695,31301,3,12,58,58091,"058091"
696,14416,2,5,23,23091,"023091"
697,26604,4,15,63,63049,"063049"
698,21608,4,15,63,63049,"063049"
699,27274,1,3,108,108023,"108023"
700,18299,1,1,6,6063,"006063"
701,22799,1,3,13,13087,"013087"
702,23998,1,1,96,96015,"096015"
703,25694,2,8,34,34041,"034041"
704,27443,1,7,8,8031,"008031"
705,23705,2,8,34,34027,"034027"
706,19737,1,3,16,16057,"016057"
707,24758,2,5,27,27033,"027033"
708,31288,1,3,17,17165,"017165"
709,17725,4,13,68,68028,"068028"
710,16070,2,5,28,28101,"028101"
711,16589,1,1,1,1259,"001259"
712,26304,1,3,15,15146,"015146"
713,22274,2,8,37,37006,"037006"
